"gene_id"	"gene_name"	"gene_biotype"	"gene_seq_start"	"gene_seq_end"	"seq_name"	"seq_strand"	"seq_coord_system"	"description"	"gene_id_version"	"canonical_transcript"	"symbol"	"entrezid"	"diffExpressed_fac"	"Rhythmicity_fac"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"diffExpressed"	"Rhythmicity_lmrAMP"	"BH.Q"	"ADJ.P"	"PER"	"LAG"	"AMP"	"amp_lmr"	"amp_lmr_abs"	"Liver_WT_DD_CT0_A"	"Liver_WT_DD_CT0_B"	"Liver_WT_DD_CT0_C"	"Liver_WT_DD_CT0_D"	"Liver_WT_DD_CT4_A"	"Liver_WT_DD_CT4_B"	"Liver_WT_DD_CT4_C"	"Liver_WT_DD_CT4_D"	"Liver_WT_DD_CT8_A"	"Liver_WT_DD_CT8_B"	"Liver_WT_DD_CT8_C"	"Liver_WT_DD_CT8_D"	"Liver_WT_DD_CT12_A"	"Liver_WT_DD_CT12_B"	"Liver_WT_DD_CT12_C"	"Liver_WT_DD_CT12_D"	"Liver_WT_DD_CT16_A"	"Liver_WT_DD_CT16_B"	"Liver_WT_DD_CT16_C"	"Liver_WT_DD_CT16_D"	"Liver_WT_DD_CT20_A"	"Liver_WT_DD_CT20_B"	"Liver_WT_DD_CT20_C"	"Liver_WT_DD_CT20_D"	"Liver_WT_DD_CT24_A"	"Liver_WT_DD_CT24_B"	"Liver_WT_DD_CT24_C"	"Liver_WT_DD_CT24_D"	"Liver_WT_DD_CT28_A"	"Liver_WT_DD_CT28_B"	"Liver_WT_DD_CT28_C"	"Liver_WT_DD_CT28_D"	"Liver_WT_DD_CT32_A"	"Liver_WT_DD_CT32_B"	"Liver_WT_DD_CT32_C"	"Liver_WT_DD_CT32_D"	"Liver_WT_DD_CT36_A"	"Liver_WT_DD_CT36_B"	"Liver_WT_DD_CT36_C"	"Liver_WT_DD_CT36_D"	"Liver_WT_DD_CT40_A"	"Liver_WT_DD_CT40_B"	"Liver_WT_DD_CT40_C"	"Liver_WT_DD_CT40_D"	"Liver_WT_DD_CT44_A"	"Liver_WT_DD_CT44_B"	"Liver_WT_DD_CT44_C"	"Liver_WT_DD_CT44_D"
NA	Ctse	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NULL	UP	Non-rhythmic	6.34168164300838	2.34683752338161	78.5462552078162	2.15906510177313e-87	1.87514804088996e-83	185.76753031628	UP	Non-rhythmic	0.337699525265475	0.194337619720995	24	0	0.00264160726301776	4.63599711366647e-16	2.22044604925031e-16	-0.853452407512532	-0.844172975524047	-0.792375288146733	-0.756394318297507	-0.857457130687226	-0.901555112221679	-0.86161809483769	-0.847701845572352	-0.934154898362522	-0.936716219945334	-0.787396872112892	-0.797758985637699	-0.834719462978135	-0.918879364770805	-0.84790877234187	-0.914596198131122	-0.815904160993004	-0.882704602763682	-0.787355187781736	-0.880413515225016	-0.822912294456124	-0.854918034760552	-0.828901040502837	-0.829758206002851	-0.778232691163664	-0.87401331890305	-0.845862467517361	-0.865233685472026	-0.659455589093049	-0.87920571041306	-0.884111557415237	-0.739535965746338	-0.78270198659534	-0.878827296239991	-0.8847643496755	-0.760099448366053	-0.791198552346715	-0.813048749118436	-0.940014204463352	-0.939695208803232	-0.903791007769349	-0.858173814855636	-0.884312012835777	-0.730063895651	-0.664364082024192	-0.926055774442524	-0.596315988398074	-0.773283517489184
NA	Cyp2b9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NULL	UP	Non-rhythmic	4.80921614228592	2.27731730118356	19.9303945076122	1.74094478952007e-35	2.56272974525116e-33	70.3623073920095	UP	Non-rhythmic	0.151546842397021	0.0732869013318925	24	18	0.461178315180453	0.370219560008482	0.290903967296475	1.74270765909331	3.80169584987861	1.21555399711038	1.03649556254784	1.41644144628083	0.982479980556606	1.39961460382585	1.28791083256545	1.00582380637373	0.908457525537246	1.7684908843742	1.72357169774935	3.46231847092903	2.64454918093032	1.435352375381	0.9358699909457	1.94011546056602	1.42890880686691	3.11179147626083	3.3364154095068	1.93353685926936	1.50468854877789	4.01666271299773	2.91209404270513	3.1885701596254	1.19580521557994	1.3227651465886	2.3977734772416	1.60837280023735	1.32044637703273	2.52342964135763	1.33375616637737	1.27009600593775	1.2947349733836	4.42517443201931	1.02778919331397	1.29068552342727	2.15791356124528	1.36738730396197	2.6318206869702	2.57850832053371	2.42186898670481	1.45906345950936	2.36998285934003	0.307677401367388	1.67852437176049	3.01415603733993	1.43548857656531
NA	Xaf1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NULL	UP	Non-rhythmic	3.57725998771405	1.05390939549751	45.6434663487662	7.36081682377488e-66	3.19643470572424e-62	139.355898520885	UP	Non-rhythmic	0.665297183183728	0.453796259433553	24	12	0.0081228445995262	4.63599711366647e-16	2.22044604925031e-16	-0.446069986437596	-0.486767111859021	-0.548864917658014	-0.603187528787709	-0.456438547069512	-0.420842569403137	-0.451936141390426	-0.474959075830754	-0.378210063360909	-0.379564031187731	-0.551097371043572	-0.543145208696623	-0.478142269353641	-0.40206842128554	-0.467704609259118	-0.406440804481483	-0.532004825964468	-0.423687135570431	-0.557226330266868	-0.439517974175887	-0.504801513917288	-0.455488650421934	-0.510191831519154	-0.479192046256817	-0.551726238116107	-0.445810624250856	-0.475649475372757	-0.448752015759899	-0.699552926096958	-0.43328673463031	-0.442971859558334	-0.610567234522736	-0.558600699076427	-0.43498785541224	-0.456480161767781	-0.598880736352897	-0.54680151406446	-0.552361705785377	-0.384199741623963	-0.390850233701303	-0.407750322619151	-0.456372495808454	-0.420209842639152	-0.60123872222252	-0.754972440468671	-0.389428122756841	-0.776269184922386	-0.562755938585324
NA	Angptl3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NULL	UP	Non-rhythmic	3.51299575165336	6.40210591139612	23.4844441861785	4.5984601358009e-41	1.53606254920888e-38	83.166981923185	UP	Non-rhythmic	1	0.97193287618233	24	22	0.356798598875161	0.179006028977507	3.42974138455045	6.00018561220119	5.64156750703251	4.93326967125371	3.9032055164538	4.06086665261656	3.61381924503921	4.26531713335853	5.84328720072938	3.68734205991802	4.87739680950444	4.59983785648339	3.75104351542378	3.80796014194527	3.88099019716294	3.63077907022772	4.73926987880064	6.15678168018678	5.59615279548433	4.41542114259247	3.33056710394105	4.128733315116	3.79415010740776	4.52022435300247	4.56545607018153	4.43493267538384	4.14105967790446	3.63750605402184	3.67945687290332	3.57718183465775	2.92505873883661	3.7355100550655	4.36693221290359	4.33999341732601	3.54651388480806	3.26107244161398	3.81694741102466	3.48267005932318	3.85445043645078	3.48358089936063	4.72035830341766	3.88768343464277	4.72476656028772	3.2371480761341	4.20499293458003	3.49331248282343	4.02459977155868	3.92278128976952	4.31159573276358
NA	Rad51b	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NULL	UP	Non-rhythmic	3.01958141099013	3.57397061717803	20.7182856694065	8.9246987706459e-37	1.55022017646119e-34	73.3266326004868	UP	Non-rhythmic	1	1	24	NA	0.0631720245667492	0.159186871928747	0.504076047877458	3.25157628884285	3.85759490883949	2.44190686677277	2.55035584874884	2.39597103829066	2.32827547551636	1.27161743485343	2.65183446015024	2.01046732841994	1.90019004019228	2.78816377371697	2.56717511430725	2.57943203308941	2.73978461520929	2.28850241623282	2.06611136012953	2.09618968725806	2.73682567012011	2.72886427059941	2.21941263395489	1.10324597767755	2.91087031658573	3.15095782466787	1.79480769409044	3.5788697965294	3.13133949225086	3.90791707433067	3.3271757755876	3.43033710556639	3.39607073356008	3.68806726508181	3.91956788777826	2.91403385474624	3.04686598335705	3.46932514142773	2.6822533929427	3.49133249673089	3.42132472992744	3.15913818548323	3.56409015237225	3.52956734991028	2.73756954446289	2.54978398186347	2.50218081170379	4.43871739412009	3.66994282830036	4.2066840532234	1.56691018330914
NA	Acnat2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NULL	UP	Rhythmic	2.94214801419681	4.68901227837105	23.1971969452554	1.23347453713621e-40	3.69404357069932e-38	82.184512146084	UP	Rhythmic	1.39661315010265e-05	1.11278791004149e-06	24	22	0.451664663218529	0.91857589074225	8.20744077491726	1.68708359633861	3.16101867811558	2.1645652053986	3.04780559611665	1.33610966428868	3.31538094103673	2.02040285145724	2.22748912310727	1.61992807954374	1.43520329667252	2.06849747916454	2.55494157117081	1.7103577569251	2.28303807402091	2.0189143791697	1.12470750649688	2.60347602630935	2.55427836022345	2.23596602014357	3.33364432508318	2.49844836126475	4.03192023710676	3.14563635655849	2.88275181056246	3.08453106908992	3.56314971223999	3.92258922638504	3.61642933439198	2.84851481756495	1.69021550229407	3.38350383051787	2.47031096567996	2.41058283034381	2.13899637314989	2.44622544379245	0.870035107944399	1.97663842009234	1.69206556773261	1.75770359218685	2.45884785393631	3.14216047379242	3.35649240800219	3.07274622649275	3.56592708928126	4.09576026308365	4.41761906562448	4.64785387763307	3.38828244627023
NA	Selenbp2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NULL	DOWN	Non-rhythmic	-2.71959692233628	7.41928852376617	-11.8599127824694	2.30133386269388e-20	3.6740964333633e-19	35.5694146991458	DOWN	Non-rhythmic	1	1	24	NA	0.0395689027886302	0.153250860253171	44.3786187279893	5.87603655950375	3.99181758013522	6.44582710541656	5.81703670804504	6.27358098574151	6.32781225823248	7.01083804700586	5.76087278688933	7.44144217360501	7.4415148727333	4.80134840937625	4.53752040131718	6.05349225673712	5.5192698023276	5.45590279177184	5.80814760601668	5.86652582647794	5.58164478698072	5.23749796483308	5.64027096910097	6.37174964353633	4.92829521364949	5.19754528176971	6.51922843568567	4.85861609698276	4.69173496309933	3.32709855568836	4.27743771941786	3.9489916597927	5.08913566905947	3.48964236181556	3.86931364878947	5.34265685603539	5.90500710772282	3.95487967728608	5.31844856042961	4.61518454616345	4.3958888581557	5.36370062476792	3.72896631262827	3.48849317609999	4.16876461662227	5.92382988743394	4.74052061426599	3.88345367326898	5.682371482612	4.51011101948378	5.16441202411913
NA	Rps4x	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NULL	UP	Non-rhythmic	2.71406301805782	2.0773389791323	12.3295828597164	2.46431666680957e-21	4.53444708712736e-20	37.8014839157699	UP	Non-rhythmic	0.447835375736956	0.276899938711278	24	21	0.703765053471502	0.364549058571898	0.480588082540503	0.455615218886637	1.03992061977188	0.0159233498545919	-0.372723566540533	-0.29030413507766	-1.14082025659335	-0.22643234672653	-1.93450707920326	-1.95885614227038	0.199578144933919	-1.01057115697904	-0.568969393503195	-1.42192465549619	-0.430593320516359	-1.34506306185541	0.583254479069316	-1.11944310381587	0.634838658318266	0.31632303187084	-1.264072454284	0.473111631014936	-0.0944516743439874	-1.08763102248364	1.54672562417041	-0.643691943124125	-1.24111913041	0.028022004550539	0.740638000836662	0.154174301931963	-0.831412361296425	-1.14521219558909	-1.75449361983027	0.733432584428591	-0.292209293513643	-0.817654334695181	-0.356752983795285	-0.146017121283127	-0.538140004002526	-1.18633925747121	-0.411746014368372	-0.228693226874828	0.35101954689858	-1.46870104933573	-0.63448929320913	-0.116944762712189	-0.143345091769013	-1.07036331137513	0.595464054582353
NA	Amy1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NULL	UP	Non-rhythmic	2.58290024258796	3.81662173257587	19.7032914441087	4.15532453145516e-35	5.46802932661941e-33	69.4939767793726	UP	Non-rhythmic	0.350912873350961	0.203355727297109	24	0	0.220710929425972	0.133433544955895	0.577669836940839	3.09695457732877	3.16167920804155	2.96520237972059	2.57298844443216	2.83148678589769	2.30584716596067	3.06607052711588	3.20738714709549	1.90620391206143	3.04903140001114	2.80784094140893	2.84972222921953	2.56929277932275	2.07693826858088	1.28214532752014	2.32522883884762	3.33029570187493	3.11063810200464	2.51935439613951	2.06447417898875	2.92128345908746	2.26536896348345	2.58715186104561	2.10380287929775	3.03041188621811	2.43384138776796	2.33529337172724	1.58921380402883	2.24098039101449	1.65596328763757	2.25404765923172	2.52003651229791	2.63017268139267	2.01763958760591	2.2900190802713	1.90666254018781	0.892539119369324	2.13752188511416	1.89961060835818	2.84871505383129	2.30935485900838	2.72408156826601	2.46204859763469	2.57183539344276	1.20567901265491	2.70548865574421	2.72765387047181	2.50120377619376
NA	D2hgdh	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NULL	DOWN	Non-rhythmic	-2.53102944308237	2.6352775133874	-33.5794078811032	4.46367411917855e-54	7.75340194501315e-51	112.858052633014	DOWN	Non-rhythmic	1	0.908881646911894	24	18	0.0649001370965965	0.0663420454948242	0.693637048078312	3.43509746182302	3.12555667100797	3.78326561475218	3.38876758893933	2.96759093676843	3.13196181562179	3.60962040440097	3.56470885694604	3.53174714580265	3.28438382001798	3.53061873976181	3.27621225045043	3.09237641034129	3.09287020658293	3.15023025817082	3.45002307635374	3.57030620763151	3.58529183030731	3.7167208617706	3.46562462849049	3.81163597763006	3.38660061942428	3.61563613580589	3.73863144437263	3.46262986001983	2.8652205572447	3.55661932513245	3.4405833806148	3.30027280603739	2.8056018035676	3.41193288608059	3.94068321618438	3.939930230813	3.720002324345	3.90511349376446	3.73076444428338	3.36509899594023	3.63167271653342	3.55636307739617	3.43094751037044	3.1743889789321	3.60600992321946	3.55877212742294	3.86146962850299	3.68672597260144	3.39065657972253	3.51951282744544	3.40677916249207
